Equipe,G1,XG1,XA1,AMT,Passes prog,Passes surface,Poss prog,Poss surface,Dribbles tentés,Ratio_drib,G2,XG2,XA2,TCL,Erreurs,Aerien win,Absences,Domination,Top_gb,Efficacite,Att_reg,Def_reg,Ppda,Xpts,g1_dead,g2_dead,Classement reel,Points reels,Groupe,Keep score,Back score,Ligue
Bologna,1.42,1.26,1.52,21.66,38.24,6.74,17.37,3.92,17.71,0.43,0.84,0.98,1.17,23.45,0.45,50.65,0.61,0.55,0.61,0.53,0.29,0.82,11.39,1.62,0.03,0.03,5,68,2,0.67,0.55,IT
Bournemouth,1.42,1.47,1.97,25.05,34.58,9.26,18.66,6.32,22.95,0.45,1.76,1.53,2.18,27.63,0.42,45.93,0.25,0.5,0.47,0.39,0.45,0.5,10.37,1.41,0.05,0.05,12,48,3,0.53,0.4,UK
Brentford,1.47,1.53,2.2,21.16,33.76,8.76,13.29,4.11,15.18,0.42,1.71,1.47,2.23,27.76,0.47,51.08,1.3,0.39,0.37,0.34,0.39,0.55,10.99,1.39,0.13,0.05,16,39,4,0.5,0.26,UK
Brest,1.56,1.41,2.09,24.62,41.24,7.91,17.35,3.09,20.29,0.47,1.0,1.15,1.64,29.41,0.38,53.76,0.24,0.53,0.62,0.47,0.38,0.68,9.69,1.52,0.21,0.09,3,61,1,0.76,0.46,FR
Brighton,1.43,1.5,2.25,25.93,46.5,10.13,22.37,6.85,18.52,0.42,1.54,1.4,1.88,23.2,0.54,54.27,0.46,0.5,0.41,0.37,0.3,0.57,10.66,1.43,0.09,0.04,11,48,3,0.68,0.36,UK
Burnley,1.08,1.07,1.49,19.92,31.08,5.68,19.13,6.32,18.39,0.43,2.05,1.84,2.56,23.34,0.58,45.41,0.74,0.26,0.32,0.42,0.18,0.42,14.28,0.89,0.08,0.16,19,24,4,0.31,0.09,UK
Cadiz,0.68,0.94,1.35,18.37,26.76,5.76,12.0,2.0,14.13,0.45,1.45,1.38,2.06,25.5,0.34,48.92,0.45,0.39,0.5,0.29,0.18,0.58,11.47,1.12,0.05,0.03,18,33,4,0.36,0.3,ES
Cagliari,1.11,1.15,1.43,20.66,29.18,6.84,13.92,2.92,13.58,0.46,1.79,1.43,2.04,21.18,0.32,47.88,0.96,0.32,0.32,0.5,0.26,0.55,16.86,1.07,0.08,0.24,16,36,4,0.42,0.35,IT
Celta Vigo,1.21,1.33,2.04,22.5,35.39,7.71,17.37,4.26,17.0,0.45,1.5,1.43,1.93,24.32,0.24,47.79,0.8,0.37,0.5,0.37,0.26,0.58,14.74,1.31,0.05,0.08,13,41,3,0.5,0.35,ES
Chelsea,2.03,1.96,2.49,25.79,42.5,9.26,22.97,7.66,22.87,0.45,1.66,1.53,2.06,25.29,0.63,52.6,0.24,0.66,0.34,0.55,0.66,0.55,10.54,1.69,0.13,0.16,6,63,2,0.68,0.41,UK
Clermont Foot,0.76,1.06,1.42,19.76,36.68,6.12,15.79,3.32,16.91,0.42,1.76,1.87,2.65,27.29,0.56,48.95,0.79,0.26,0.53,0.38,0.15,0.38,13.58,0.87,0.09,0.0,18,25,4,0.43,0.25,FR
Crystal Palace,1.5,1.28,1.85,20.89,30.95,7.18,13.32,4.47,19.39,0.46,1.53,1.37,2.05,29.24,0.16,48.81,1.47,0.45,0.34,0.53,0.34,0.66,15.05,1.33,0.0,0.13,10,49,3,0.55,0.4,UK
Darmstadt,0.88,0.96,1.53,21.26,31.85,6.65,12.85,2.91,12.94,0.42,2.53,2.15,3.29,25.79,0.56,46.94,1.49,0.21,0.35,0.38,0.18,0.24,15.35,0.72,0.06,0.24,18,17,4,0.33,0.09,AL
Dortmund,1.81,1.73,2.52,25.77,40.53,8.21,21.6,6.21,20.34,0.45,1.15,1.6,2.34,25.21,0.36,49.64,0.94,0.51,0.6,0.55,0.53,0.47,13.35,1.67,0.15,0.13,5,63,2,0.68,0.5,AL
Eintracht Frankfurt,1.5,1.35,2.15,20.24,38.38,8.12,16.88,5.18,18.82,0.44,1.47,1.53,2.14,26.59,0.35,48.44,0.49,0.5,0.41,0.47,0.32,0.53,14.64,1.36,0.03,0.09,6,47,2,0.53,0.53,AL
Empoli,0.76,0.95,1.33,18.87,27.79,5.42,13.79,3.74,15.21,0.38,1.42,1.39,1.99,23.18,0.24,44.42,0.54,0.34,0.34,0.32,0.11,0.55,12.6,1.04,0.05,0.13,17,36,4,1.0,0.2,IT
Everton,1.05,1.41,1.88,22.47,29.71,7.47,13.03,3.34,14.84,0.44,1.34,1.46,1.91,28.97,0.32,53.71,0.26,0.53,0.53,0.37,0.37,0.55,15.05,1.4,0.11,0.05,15,40,4,0.72,0.29,UK
Fiorentina,1.61,1.36,1.95,23.95,43.58,9.84,16.34,4.26,16.47,0.45,1.21,1.27,1.43,21.05,0.21,50.61,1.21,0.55,0.42,0.5,0.32,0.61,10.89,1.47,0.18,0.05,8,60,3,0.7,0.4,IT
Freiburg,1.5,1.51,1.98,22.32,36.07,7.32,14.68,3.14,14.41,0.44,1.64,1.4,2.34,23.93,0.32,49.79,0.42,0.5,0.48,0.41,0.43,0.55,17.46,1.3,0.11,0.07,10,42,3,0.7,0.25,AL
Frosinone,1.16,1.2,1.44,21.08,34.89,7.34,14.82,3.87,18.66,0.42,1.82,1.52,1.98,20.68,0.37,45.82,0.91,0.34,0.29,0.45,0.24,0.53,13.69,1.17,0.08,0.11,18,35,4,0.5,0.19,IT
Fulham,1.45,1.34,1.89,23.08,38.61,9.34,17.63,3.97,14.47,0.48,1.61,1.66,2.19,27.63,0.37,48.9,0.64,0.34,0.45,0.45,0.24,0.42,15.64,1.18,0.16,0.03,13,47,3,0.71,0.18,UK
Genoa,1.18,0.94,1.23,18.55,28.39,5.87,12.32,2.18,11.84,0.46,1.18,1.12,1.64,25.18,0.29,53.16,0.42,0.39,0.45,0.53,0.13,0.76,14.76,1.17,0.03,0.05,11,49,3,0.57,0.38,IT
Getafe,1.11,1.2,1.46,20.16,30.03,5.79,11.55,3.21,14.53,0.42,1.42,1.41,1.9,24.08,0.16,47.82,0.55,0.37,0.45,0.45,0.24,0.58,10.0,1.22,0.11,0.13,12,43,3,0.57,0.29,ES
Girona,2.24,1.87,2.82,22.95,44.34,9.53,23.53,6.16,19.61,0.46,1.21,1.43,2.0,21.08,0.55,49.32,0.39,0.66,0.61,0.61,0.71,0.5,12.36,1.68,0.11,0.08,3,81,1,0.86,0.6,ES
Granada,1.0,1.12,1.61,18.63,27.47,6.92,13.47,2.95,17.32,0.46,2.08,1.7,2.21,24.13,0.68,47.3,1.28,0.29,0.42,0.37,0.29,0.39,12.75,0.96,0.03,0.11,20,21,4,0.57,0.23,ES
